16
16
1 1
1 3
1 1
1 3
1 1
1 3
1 1
1 3
1 1
1 3
1 2
1 1
3 2
3 2
1 3
1 2
1 1
1 3
1 2
1 1
1 3
1 1
3 2
3 2
1 3
1 2
1 0
1 2
1 0
1 0
1 1
3 3
1 1
1 3
1 0
1 2
1 1
3 2
3 3
1 0
1 2
1 0
1 1
4 0
1 3
1 1
1 3
1 0
1 2
1 1
1 3
3 1
1 3
1 0
1 0
1 2
1 0
1 1
1 3
1 0
1 2
1 1
1 3
1 2
1 0
1 2
1 2
1 0
1 1
3 2
1 3
1 0
1 2
1 1
1 3
1 2
1 0
1 1
1 3
1 0
1 2
1 0
1 0
1 1
1 3
1 0
1 1
1 3
1 0
1 1
1 3
1 0
1 1
1 3
1 1
1 3
1 0
1 1
1 3
1 1
1 3
1 1
1 3
1 1
1 3
1 2
1 1
1 3
1 2
1 1
1 3
1 2
1 1
1 3
1 1
1 3
1 1
1 3
1 2
1 1
1 3
1 0
1 1
1 3
1 0
1 2
1 1
5 3
1 1
1 3
1 1
1 3
1 1
1 3
1 0
1 1
1 3
1 2
1 1
1 3
1 2
1 0
1 2
1 2
1 2
1 1
1 3
1 1
1 3
1 1
1 3
1 1
1 3
1 0
1 2
1 2
1 0
1 1
5 3
1 0
1 0
1 1
1 3
1 2
1 2
1 2
1 1
1 3
1 2
1 1
3 3
1 0
1 2
1 2
1 1
1 3
1 2
1 1
1 3
1 0
1 0
5 0
1 3
1 2
1 0
1 2
1 0
1 1
5 3
1 0
1 1
1 3
1 0
1 1
1 3
1 2
1 1
3 2
1 3
1 0
1 2
1 0
1 2
1 2
1 2
1 1
1 3
1 2
1 2
1 1
1 3
1 0
1 2
1 0
1 1
1 3
1 0
1 2
1 0
1 0
1 0
1 1
1 3
1 0
1 0
1 2
1 1
1 3
1 0
1 1
1 3
1 1
5 2
1 0
1 2
1 2
1 1
1 3
1 2
1 2
1 2
1 0
1 1
1 3
1 2
1 2
1 1
1 3
1 0
1 2
1 0
1 0
1 1
1 3
1 0
1 0
